beername,active,rbid,rbbrewer,alcohol,description
’s Antla E1nser &#40;Einser&#41;,1,129384,12016,4.6,
’s Antla Flößer,1,129385,12016,4.8,
’s Antla Schluck,1,299259,12016,4.8,
’s Antla Festbier,1,129391,12016,0,
’s Antla Schwärzla,1,129393,12016,0,
’s Antla Löschbier,1,129390,12016,0,
’s Antla Weihnachtsbier,1,129394,12016,0,
’s Antla Maibock,1,129387,12016,0,
’s Antla Antlator,1,129386,12016,7.1,
’s Antla Katharina von Bora,1,129389,12016,0,
’s Antla Frühlingsbier,1,129388,12016,0,
’s Antla Cherry,1,299262,12016,0,
’s Antla Erntedankbier,1,129392,12016,0,
Adler Bräu Stettfeld Stöpflder Zwickel,1,8423,3718,5,
Adler Bräu Stettfelder Bärentrunk,1,177412,3718,5.3,
Adler Bräu Stettfeld Alt Fränkisches Lagerbier,1,8422,3718,4.8,
Adler Bräu Stettfelder Pils,1,39686,3718,5,
Adler Bräu Stettfeld Stöpflder Classic,1,24415,3718,5,
Adler Bräu Stettfeld Dunkles,1,138514,3718,0,
Adler Bräu Stettfelder Hell,1,74025,3718,5,
Adler Bräu Stettfelder Heller Bock,1,35903,3718,7.1,
Adler Bräu Stettfelder Weisse,1,91712,3718,5.4,
Adler-Bräu Schlüsselfeld Weisse,1,59742,3704,5,
Adler-Bräu Schlüsselfeld Vollbier,1,66810,3704,4.8,
Ahornberger Landbier Hopfig Pils,1,19498,3206,4.8,
Ahornberger Landbier Würzig,1,20439,3206,4.8,
Ahornberger Bärentrunk Landbier Dunkel,1,249870,3206,4.9,
Ahornberger Pilsner,1,89782,3206,4.9,
Ahornberger Landbier Märzen,1,59920,3206,5.3,
Ahornberger Maibock,1,47046,3206,6.5,
Ahornberger Urhell,1,95856,3206,4.8,
Waldershofer Brauhaus Bauerntrunk-Pils,1,89783,3206,4.8,
Dr. Heinrich Stromer Stromertrunk Hell,1,110103,3206,4.8,
Ahornberger Weizen Hell,1,89781,3206,5,
Ahornberger Landbier Dunkel,1,29835,3206,5.1,
Ahornberger Winterbock,1,136639,3206,6.5,
Ahornberger Landbier Premium,1,30468,3206,4.8,
Dr. Heinrich Stromer Stromertrunk Pils,1,111040,3206,4.8,
Dr. Heinrich Stromer Stromertrunk Keller Bier,1,255586,3206,4.8,
Albertshöfer Sternbräu Weizenbier,1,159305,13706,5,
Albertshöfer Sternbräu Helles,1,159304,13706,5,
Albertshöfer Sternbräu Dunkles Weizenbier,1,216447,13706,5.1,
Albertshöfer Sternbräu Hopferla,1,306264,13706,4.5,
Albertshöfer Sternbräu Rauchbier,1,253666,13706,5.1,
Albertshöfer Sternbräu Chocolate Cream Stout,1,182173,13706,5.5,
Albertshöfer Sternbräu Brown IPA,1,216307,13706,6.1,
Arnsteiner Dunkel Spezial,0,300892,5425,5.4,
Arnsteiner Weissbier,1,128852,5425,5,
Arnsteiner Ur-Weiße,1,66936,5425,5.4,
Arnsteiner Landbier,1,147078,5425,5.2,
Bolzplatz Pils,0,66823,5425,4.9,
Arnsteiner Pils,1,77498,5425,4.9,
Arnsteiner Ernte Hell,1,147077,5425,4.9,
Herzog Radler,1,147095,5425,2.7,
Herzog Bock,0,72318,5425,7.2,
Herzog Keller Märzen,1,313923,5425,5.4,
Herzog Der Schwarze,1,101320,5425,5,
Herzog Weisse alkoholfrei,1,147090,5425,0,
Herzog Ur-Weisse,1,92431,5425,5,
Herzog Der Starke Doppelbock,1,147108,5425,7.2,
Herzog von Franken Premium Pilsener,1,44564,5425,4.9,
Herzog  Weisse,1,41483,5425,5,
Windsheimer Bürgerbräu Hell,1,69433,6153,4.8,
Windsheimer Bürgerbräu Freilandmuseum Pils,1,39191,6153,4.8,
Windsheimer Bürgerbräu Freilandmuseum Zwickel,1,182263,6153,4.8,
