score,comment,serving,rbid,rbbrewer,created_at
2.9,"bottle at the brewery in Stettfeld.  best by 09.10.12. almost-clear gold effervescent body with a large-bubbled white head with decent retention.
very, very faint malt and hop aroma, and a strong mineral character makes it come across very literally like mineral water.  has some faint white bread malt notes and subtle lemon and dried grass hop aroma.  high carbonation also resembles mineral water.  lemon oil hop flavor; medium to low bitterness; light dish soap esters; ample calcium carbonation; bracing combination of high effervescence and malt roughness.  off-dry with medium bitterness.  no overt off note, just very, very plain and near-flavorless.",,8423,3718,'2013-05-23 00:00:00'
2.9,"bottle best by October 2013.  lightly hazed dark brown body with a short off-white head, slowly cascading carbonation and decent lacing.  fairly simple aroma of dates / plum, apples, cola and sweet nuts; little aromatic hops; clean yeast aroma.  simple flavor, medium sweetness, low bitterness, limp body. same cola / apple / fruit flavors with some pasty yeast across the middle.  thin, watery finish.  ",,177412,3718,'2013-05-23 00:00:00'
2.7,"draft at the brewery in Stettfeld.  pale copper body with a fluffy off-white head. caramel and cola malt aroma with more sweet cabbage / kraut hops (DMS), off-smelling but overall quite faint. coarse malty texture, light bitterness. simple cara malt sweet flavor with medium-high acid, crunchy / toasty malt, lightly frothing carbonation. turns a tad sourish in finish.  simple beer with linger nut / caramel malt, and with the thin finish it even seems something like malzbier at times.",,8422,3718,'2013-05-23 00:00:00'
2.6,"draft at the brewery in Stettfeld.  clear pale gold with a fluffy white head, pretty much the classic look of German pilsner but with a fainter hue. malt in the nose is straightforward toasted pilsner / crackery; hops are lightly grassy but more like sweet cabbage and sugar snap peas; low  DMS noticed. light eggy yeast notes as well. light body, husky, rough toasted grain, saltine cracker malt and sweet, vegetal hop flavors. medium-heavy bitterness, overly bitter for the light body and low sweetness. oily finish.  simple beer.",,39686,3718,'2013-05-23 00:00:00'
2.2,"draft at Barfusser in nurnberg.  cola brown. fine-bubbled tan head. dusty yeast / light powdered milk and chalk nose. thin and watery with light touches of roast and sourish milk throughout. dirty and phenolic with rough carbonation, there’s very little to like about it, making the already high cost of a glass even worse. minerallic and gravel and metal and such. awful. make your own barf joke here.
",,17069,2914,'2011-12-21 00:00:00'
3.2,"draft. hazed orange, small white head. mostly bright and snappy up front with a bit of a syrupy twang like malt
extract syrup.  light body, perhaps a bit watery what with the somewhat abrasive and flabby malt. hops are dry with a light pungency. wet and syrupy lingering thin finish. strange beer. some sacharine sweetness here and there but overall it’s easy to drink and doesn’t demand much attention.
",,24569,3742,'2011-01-23 00:00:00'
2.3,"Draft at Fränkisches Bierfest in Nürnberg.
DMS / cabbage / carrot aroma.
Some cigarette filters and ashtray notes.
Mushy pile of cooked corn on a plate.
Medium-light body, sweet, medium bitterness, chalky and dirty.

",,104613,8744,'2013-06-13 00:00:00'
3.9,"From draft at Brauerei Bayer. Nearly clear gold body with a fluffy lasting white head.
- Perle, Hallertau Tradition, Hallertau Hallertau hops, but the lemon juiciness screams Spalt Select for me. Oily and slick with low acidity until late. Carbonation is somewhat low and loose but works well. Malt is honey-pastries and succulent. Off-dry, juicy, peppery and slightly phenolic. Really juicy and bright, some acid developing late in the finish. Musty / minerallic / sulfuric (light). Very clean and juicy hoppy example of Franconian kellerbier.",,64431,4798,'2014-08-14 00:00:00'
3.1,"From draft at Brauerei Bayer. Amber-gold body, mostly clear with a lasting off-white head.
Cara red, pils and melanoidin malt. Musty / estery nose showing apricot jam, orange, baked crackers... Flavor is slightly sour, bready... slick, oily, soft, bright in the mouth. Cara red apple / caramel malt in the finish with mild acid, medium-low bitterness. Game-y, grainy / raw / wort-y with green / vegetal notes in the finish.",,281689,4798,'2014-08-14 00:00:00'
4.2,"bottle at the brewery in trabelsdorf.  toasted munich malt, creamy and rich toffee and caramel flavor.  crisp, toasted, snappy cereal grains.  minerally, dense, frothy.  amazing. unappreciated.",,24318,3701,'2009-10-20 00:00:00'
4.1,"draft at the brewery in trabelsdorf.  clear medium yellow colored body with a pillowy white head.  nose is semi-sweet honey, minerally/dusty yeast esters and a light spiced pepperoni nose.  bright, crisp, light, very clean and snappy.  silky texture, exceptionally clean throughout.  well-made and delicious, a perfect representation of the nuance achieved when a skilled brewer properly uses that famous hard franconian water.",,24770,3701,'2009-10-20 00:00:00'
4,"draft at the brewery in trabelsdorf.  clear gold.  nose is hay, sweet lemon zest, mild/pale honey.  full bodiy, super rich and filling in the mouth. creamy and growing on the palate.  crisp, snappy, spiced honey.  wonderful all around.",,24749,3701,'2009-10-20 00:00:00'
3.7,"bottle at the brewery in trabelsdorf.  cloudy orange.  creamed orange ice cream nose, stiff, creamy, hefty on the palate.  soft body, soft carbonation, extremely rich, almost too filling and &quot;chunky&quot;.",,24793,3701,'2009-10-20 00:00:00'
3.3,"bottle at the brewery in trabelsdorf.  burnt toffee, sharp, somewhat astringent malt.  has the distinct flavor or scorched/burnt stove-top pans (metallic, acrid). extremely strong toffee and caramel in the nose.  something might be wrong with this one.",,24794,3701,'2009-10-20 00:00:00'
