name,simple
Altfränkisch,altfrankisch
Braunbier,braunbier
Dampfbier,dampfbier
Dinkelbier,dinkelbier
Doppelbock,doppelbock
Dunkel,dunkel
Dunkelweizen,dunkelweizen
Dunkler Bock,dunkler-bock
Eisbock,eisbock
Emmerbier,emmerbier
Erntebier,erntebier
Export,export
Festbier,festbier
Helles,helles
Helles Bock,helles-bock
Kellerbier,kellerbier
Kellerpils,kellerpils
Kirchweihbier,kirchweihbier
Kräusenbier,kräusenbier
Lagerbier,lagerbier
Landbier,landbier
Leichtbier,leichtbier
Märzen,marzen
Naturtrübe,naturtrube
Oktoberfestbier,oktoberfestbier
Pils,pils
Rauch Doppelbock,rauch-doppelbock
Rauchbier,rauchbier
Rauchbock,rauchbock
Rauchmärzen,rauchmarzen
Rauchweizen,rauchweizen
Roggenbier,roggenbier
Roggenbock,roggenbock
Rotbier,rotbier
Schwarzbier,schwarzbier
Ungespundet,ungespundet
Vollbier,vollbier
Weihnachtsbier,weihnachtsbier
Weizen,weizen
Weizenbock,weizenbock
Weizendoppelbock,weizendoppelbock
Zoigl,zoigl
Zwickel,zwickel
